PROVENIENZA	id	MISURA_FRAMMENTO	FRAMMENTO	chiusi	K	Ca	Ti	Cr	Mn	Fe	Zn	Rb	Sr	somma	valutazione	confidence	perRepVal	perRepConf	NeuralNet	NearestNeighbors	SVC	DecisionTree	RandomForest	NaiveBayes
1	1.4/3_73(retro)	4	101	3_73(retro)	24,7846560238888	42,5979097278052	3,37659354542322	,321580337659355	,723555759733547	27,8856092798897	,114850120592627	,0574250602963133	,137820144711152	100	1	1	" "	" "	1	1	1	1	1	1
1	2.1/3_204a	1	102	3_204a	12,8378064096005	59,6942493449308	,544211358667845	,283734127168706	,59537652914089	25,7794936198583	,125587236615656	,0434128719165233	,0961285021008729	100	1	1	1	1	1	1	1	1	1	1
1	2.2/3_204b	2	102	3_204b	15,1540160999518	60,4256075573275	1,72807841743061	,21839051270982	,385992534091775	21,9266614185226	,0368216562127022	,0342822316463089	,0901495721069606	100	1	1	" "	" "	1	1	1	1	1	1
1	3.1/3_607a'	1	103	3_607a'	18,4444323815728	51,3932616798755	1,66919986972099	,17461006767271	,528353779900843	27,6245793073499	,0533782072160098	,0307603228024463	,0814243838888286	100	1	1	1	1	1	1	1	1	1	1
1	3.2/3_607b	2	103	3_607b	18,3801909211745	53,725782414307	1,91827445925807	,297055624924477	,586055504088291	24,8972892415515	,0815644258267209	,0332299512627382	,0805574576066379	100	1	1	" "	" "	1	1	1	1	1	1
1	3.3/3_607b(big)	3	103	3_607b(big)	19,189108615721	52,131571102057	2,32535029315313	,238497465964424	,59624366491106	25,2012322369075	,129186127397396	,059624366491106	,129186127397396	100	1	1	" "	" "	1	1	1	1	1	1
1	3.4/3_607(small)	4	103	3_607(small)	16,5863155942889	53,105877989987	2,38271833858706	,148340441312813	,528462822176896	26,9979603189319	,0834414982384572	,046356387910254	,120526608566661	100	1	1	" "	" "	1	1	1	1	1	1
1	4.1/3_610a	1	104	3_610a	12,7848859474268	44,1667730437259	1,56717956774909	,332878366833924	,78064395761938	40,1113522324453	,100158092675694	,0569526409332377	,0991761505906382	100	1	1	1	1	1	1	1	1	1	1
1	4.2/3_610b	2	104	3_610b	20,7782523218765	35,403454927555	1,87660620851591	,312459555900679	,874516981899532	40,5007980968933	,111548677747579	,0566987754297089	,0856644541818428	100	1	1	" "	" "	1	1	1	1	1	1
1	4.3/3_610a	3	104	3_610a	15,2552317621748	43,0275767651086	2,51320164287111	,332485820457657	,576960688441228	37,9327205163309	,127126931351457	,0782319577547428	,156463915509486	100	1	1	" "	" "	1	1	1	1	1	1
1	5.1/13_4a	1	105	13_4a	13,8800823182602	53,4155588927823	1,90175575208113	,2484379924727	,982627880675603	29,4514897009474	,034762778797486	,0190036524092923	,0662810315738732	100	1	1	1	1	1	1	1	1	1	1
1	5.2/13_4b	2	105	13_4b	12,7241406311174	50,4067374868409	2,53612785912527	,404562420066296	,764753477931773	32,9801024891464	,0522016025891995	,0287108814240597	,102663151758759	100	1	1	" "	" "	1	1	1	1	1	1
1	5.3/13_4a	3	105	13_4a	16,0149608976539	51,0653972571688	2,51048396237108	,385356454720617	1,01439419698515	28,8223960104273	,0623370735577468	,0283350334353395	,0963391136801542	100	1	1	" "	" "	1	1	1	1	1	1
1	5.4/13_4b	4	105	13_4b	14,0345536189969	47,7966359692518	3,24986680873735	,487099474845879	,94375523251389	33,2217063703478	,0684983636502017	,0380546464723343	,159829515183804	100	1	1	" "	" "	1	1	1	1	1	1
1	6.1/28_66a	1	106	28_66a	15,7616798835724	48,4047640262556	1,62048174878969	,270872315780095	,611244765214292	33,1325551694437	,0516795865633075	,0427693130179097	,103953191362975	100	1	1	1	1	1	1	1	1	1	1
1	6.2/28_66	2	106	28_66	16,7257610954885	47,1084484655826	2,5797774789094	,232302237437339	,758038880058687	32,2900110037902	,073358601296002	,0611321677466683	,171170069690671	100	1	1	" "	" "	1	1	1	1	1	1
1	7.1/28_128a	1	107	28_128a	16,7003231017771	49,0128765561152	3,63014349520099	,377743989356647	,601064335265609	29,5139218853939	,00534543381165067	,0397937850422883	,118787418036682	100	1	1	" "	" "	1	1	1	1	1	1
1	7.2/28_128b	2	107	28_128b	14,0995371296704	55,5077567463017	4,49197646964664	,478877372710659	,82569663985487	24,4154094468233	,0313471260688036	,0340149665852975	,115384102338362	100	1	1	" "	" "	1	1	1	1	1	1
